cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	Exc_intermediate	ALS_region_interaction	-0.0279119766789495	-0.893488770272205	0.837664816914306	-0.0645383042755128	0.94876185381333	0.94876185381333	33	17	0.236677165090426	secondary	0.972473963421838	0.40922556541819	2.31096414655071		Exc_intermediate	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_upper	ALS_region_interaction	-0.0848454133730343	-1.03542986848233	0.865739041736264	-0.17863650899163	0.858840933772244	0.94876185381333	33	17	0.236677165090426	secondary	0.918654285092751	0.35507371311559	2.37676196335194		Exc_upper	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_LAMP5	ALS_region_interaction	-0.154438684309495	-0.947635575574005	0.638758206955015	-0.389679582018526	0.698189945857905	0.94876185381333	33	17	0.236677165090426	secondary	0.856896031703206	0.387656525267806	1.89412730416815		Inh_LAMP5	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_PVALB	ALS_region_interaction	-0.404298955596561	-1.27025922069428	0.461661309501157	-0.934409436646704	0.353937484403587	0.94876185381333	33	17	0.236677165090426	secondary	0.667444555154554	0.280758833844884	1.58670780934923		Inh_PVALB	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_SST	ALS_region_interaction	-0.329044637110586	-1.31167549676672	0.653586222545551	-0.67018851154574	0.505377240017985	0.94876185381333	33	17	0.236677165090426	secondary	0.719610894679078	0.269368352272679	1.9224227173377		Inh_SST	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_VIP	ALS_region_interaction	-0.439108377293794	-1.30615919629535	0.427942441707761	-1.0135839638586	0.314959232156112	0.94876185381333	33	17	0.236677165090426	secondary	0.644610914657501	0.270858374969352	1.53409777837808		Inh_VIP	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_other_CGE	ALS_region_interaction	0.459672210029115	-0.413338497502066	1.3326829175603	1.05380738910976	0.296308401628132	0.94876185381333	33	17	0.236677165090426	secondary	1.58355482652118	0.661438349700441	3.79120123551079		Inh_other_CGE	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Micro	ALS_region_interaction	0.220628272464652	-0.66231996258129	1.10357650751059	0.50010187485108	0.618881230674385	0.94876185381333	33	17	0.236677165090426	secondary	1.24685985226719	0.515653648566039	3.0149296829743		Microglia	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	OPC	ALS_region_interaction	0.208577261946045	-0.711929196511994	1.12908372040408	0.453495187962862	0.651871622053108	0.94876185381333	33	17	0.236677165090426	secondary	1.23192410723801	0.49069663350251	3.0928213123484		OPC	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Oligo	ALS_region_interaction	0.487997817469684	-0.960220452912947	1.93621608785231	0.693778675733376	0.494179223793607	0.94876185381333	33	17	0.236677165090426	secondary	1.62905129451486	0.382808485426567	6.9324694231983		Oligodendrocyte	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	VLMC	ALS_region_interaction	-0.0575595618198068	-1.01068022131092	0.895561097671309	-0.120865445432083	0.904212194282101	0.94876185381333	33	17	0.236677165090426	secondary	0.944065658443166	0.363971314302923	2.44870936919485		VLMC	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
