feature	cell_type	log2FC_per_pTDP_level	logCPM	F	p_value	FDR	layer	n_donors	model	target_global_FDR	loo_same_direction_fraction	model_test	candidate_FDR_family	transcriptome_FDR_family	valid_LOO_iterations	uncertainty_interval
COA3	IN	-0.106568271294504	2.24398415313363	0.0184007007488138	0.893352461246598	0.969309914087284	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.571428571428571	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COA3	MG	0.291859597707647	2.84524531967756	0.279517202124771	0.601504647905855	0.863764334649249	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.838024939196656	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COA3	ODC	0.204218433765209	2.79047750700725	0.216078051849096	0.648268827974653	0.998867898230759	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.857155450322041	0.857142857142857	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COA3	OPC	-0.0301239931909815	3.20333724736716	0.0034333175263372	0.953750350703065	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	ASC	-2.24628063537401	5.19225989777692	13.4439878831748	0.0013410553438962	0.239820717659325	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.0265975976539414	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	EX	1.99539518272654	5.17619496059462	5.76432776650792	0.0301452505727058	0.194426785014309	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.188804464113263	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	IN	-0.0331381404948774	4.98743719230506	0.00328650700556751	0.955099213454127	0.988398853217817	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.714285714285714	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	MG	0.0942375078178701	5.23306613143347	0.0315920497305665	0.861930342765218	0.961070909281783	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	ODC	0.173671843911873	5.61383991173841	0.126878597078425	0.728659208286642	1	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.906517072550242	0.642857142857143	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COX5B	OPC	-0.116140184767169	5.40027461802869	13.4010721020737	0.00232238101712154	0.69735127048301	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.0394804772910661	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
